id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
jVjGKCZS/,jVjGKCZS28,28,31,Corner:  1. FSV Mainz 05. Conceded by Marco Hoger.,2,,1,Mainz,FC Cologne,,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS29,29,31,Attempt blocked. Stefan Bell (1. FSV Mainz 05) right footed shot from outside the box is blocked. Assisted by Danny Latza with a headed pass.,1,12.0,1,Mainz,FC Cologne,stefan bell,danny latza,,,2.0,3.0,0,15.0,1.0,3,1.0,0
jVjGKCZS/,jVjGKCZS30,30,31,Foul by Danny Latza (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,danny latza,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS31,31,31,Konstantin Rausch (1. FC Koln) wins a free kick in the defensive half.,8,,2,FC Cologne,Mainz,konstantin rausch,,,,,,0,2.0,,0,,0
jVjGKCZS/,jVjGKCZS32,32,33,Attempt saved. Anthony Modeste (1. FC Koln) left footed shot from outside the box is saved in the centre of the goal. Assisted by Pawel Olkowski.,1,12.0,2,FC Cologne,Mainz,anthony modeste,pawel olkowski,,,5.0,1.0,0,15.0,2.0,1,1.0,0
jVjGKCZS/,jVjGKCZS33,33,34,Attempt blocked. Christian Clemens (1. FC Koln) right footed shot from outside the box is blocked. Assisted by Jonas Hector.,1,12.0,2,FC Cologne,Mainz,christian clemens,jonas hector,,,2.0,3.0,0,15.0,1.0,1,1.0,0
jVjGKCZS/,jVjGKCZS34,34,35,Attempt missed. Yuya Osako (1. FC Koln) header from the centre of the box misses to the left. Assisted by Pawel Olkowski with a cross.,1,12.0,2,FC Cologne,Mainz,yuya osako,pawel olkowski,,,8.0,2.0,0,3.0,3.0,2,1.0,0
jVjGKCZS/,jVjGKCZS35,35,35,Foul by Levin Oztunali (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,levin oztunali,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS36,36,35,Konstantin Rausch (1. FC Koln) wins a free kick on the left wing.,8,,2,FC Cologne,Mainz,konstantin rausch,,,,,,0,4.0,,0,,0
jVjGKCZS/,jVjGKCZS37,37,36,Attempt saved. Yuya Osako (1. FC Koln) header from the centre of the box is saved in the top centre of the goal. Assisted by Christian Clemens.,1,12.0,2,FC Cologne,Mainz,yuya osako,christian clemens,,,11.0,1.0,0,3.0,3.0,1,1.0,0
jVjGKCZS/,jVjGKCZS38,38,37,Corner:  1. FC Koln. Conceded by Stefan Bell.,2,,2,FC Cologne,Mainz,,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS39,39,38,Offside: 1. FC Koln. Pawel Olkowski tries a through ball: but Yuya Osako is caught offside.,9,13.0,2,FC Cologne,Mainz,yuya osako,pawel olkowski,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS40,40,40,Attempt missed. Danny Latza (1. FSV Mainz 05) left footed shot from outside the box is close: but misses to the right. Assisted by Levin Oztunali.,1,12.0,1,Mainz,FC Cologne,danny latza,levin oztunali,,,9.0,2.0,0,15.0,2.0,1,1.0,0
jVjGKCZS/,jVjGKCZS41,41,40,Foul by Jonas Hector (1. FC Koln).,3,,2,FC Cologne,Mainz,jonas hector,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS42,42,40,Levin Oztunali (1. FSV Mainz 05) wins a free kick in the attacking half.,8,,1,Mainz,FC Cologne,levin oztunali,,,,,,0,1.0,,0,,0
jVjGKCZS/,jVjGKCZS43,43,41,Christian Clemens (1. FC Koln) wins a free kick in the defensive half.,8,,2,FC Cologne,Mainz,christian clemens,,,,,,0,2.0,,0,,0
